participant_id,dark_period_ts,lights_on_ts,trial,condition,melanopic_edi,photopic_lux
310,2025-03-18T16:58:46Z,2025-03-18T17:21:32Z,11,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:22:45Z,12,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:23:56Z,13,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:25:10Z,14,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:26:22Z,15,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:27:34Z,16,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:28:48Z,17,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:30:01Z,18,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:31:14Z,19,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:32:28Z,20,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:33:40Z,21,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:34:54Z,22,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:36:08Z,23,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:37:21Z,24,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:38:35Z,25,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:39:47Z,26,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:40:59Z,27,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:42:12Z,28,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:43:24Z,29,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:44:36Z,30,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:45:50Z,31,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:47:02Z,32,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:48:15Z,33,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:49:29Z,34,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:50:42Z,35,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:51:55Z,36,4,3906,4532
311,2025-03-19T10:35:09Z,2025-03-19T10:45:30Z,1,5,8408,9822
311,2025-03-19T10:35:09Z,2025-03-19T10:46:41Z,2,0,0,0
311,2025-03-19T10:35:09Z,2025-03-19T10:47:53Z,3,2,912,1074
311,2025-03-19T10:35:09Z,2025-03-19T10:49:07Z,4,3,1967,2420
311,2025-03-19T10:35:09Z,2025-03-19T10:50:20Z,5,4,3906,4532
311,2025-03-19T10:35:09Z,2025-03-19T10:51:33Z,6,1,392,486
311,2025-03-19T10:35:09Z,2025-03-19T10:52:44Z,7,0,0,0
311,2025-03-19T10:35:09Z,2025-03-19T10:53:57Z,8,5,8408,9822
311,2025-03-19T10:35:09Z,2025-03-19T10:55:10Z,9,4,3906,4532
311,2025-03-19T10:35:09Z,2025-03-19T10:56:21Z,10,0,0,0
311,2025-03-19T10:35:09Z,2025-03-19T10:57:34Z,11,3,1967,2420
311,2025-03-19T10:35:09Z,2025-03-19T10:58:45Z,12,2,912,1074
311,2025-03-19T10:35:09Z,2025-03-19T10:59:57Z,13,0,0,0
311,2025-03-19T10:35:09Z,2025-03-19T11:01:10Z,14,4,3906,4532
311,2025-03-19T10:35:09Z,2025-03-19T11:02:23Z,15,4,3906,4532
311,2025-03-19T10:35:09Z,2025-03-19T11:03:35Z,16,2,912,1074
311,2025-03-19T10:35:09Z,2025-03-19T11:04:47Z,17,1,392,486
311,2025-03-19T10:35:09Z,2025-03-19T11:06:00Z,18,3,1967,2420
311,2025-03-19T10:35:09Z,2025-03-19T11:07:13Z,19,1,392,486
311,2025-03-19T10:35:09Z,2025-03-19T11:08:26Z,20,4,3906,4532
